Id,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,ID,Name,Stars,Title,Date,Description
178,0,0.403,0.597,0.9151,0.001317084,0.011079869,0.987603009,178,Roman,5,Super CPU!,,Thank you Amazon for this beast! Everything is fine <3 Nice update from i7-2670QM lol ;))
179,0,1,0,0,0.211752892,0.550788224,0.237458915,179,John,5,works,,works
180,0.026,0.806,0.168,0.9597,0.11548239,0.447557837,0.436959773,180,Michael,5,Price friendly option,,If you build new desktop pc is very tricky story for found the good compatibility motherboard. The market at the moment 2024 spring show so many different type of motherboard unfortunately not all motherboard recognise it 13th gen processor. The best if you research on factory company website. But I was bought first motherboard is not recognise 13th gen processor. Funny because the motherboard card case is show the picture on the front compatible 13.gen processor but not. In the game I5 processor is good enough but high temp so choose better cooling system. I suggest I7 processor. Better performance. Less temperature. Not to big different on price.
181,0,1,0,0,0.011513055,0.279343039,0.709143937,181,Matt,5,Processador perfeito,,"High performance in all the activities I do, from work to games. I use an Air Cooler and the temperature is always around 40 °C, rarely more than that"
182,0.127,0.588,0.285,0.7906,0.0072426,0.07646884,0.916288555,182,Timmy Johansson,5,Perfekt fÃ¶r gaming,,"Chose this for my new gaming computer works perfectly and scores well in various stress tests.
Chose this for my new gaming computer works perfectly and scores well in various stress tests.
"
183,0,0.523,0.477,0.802,0.002238164,0.024372067,0.973389804,183,Rafer,5,Bon processeur,,"I like this processor. I think it has good value for© money, good performance."
184,0,0.764,0.236,0.4753,0.002781514,0.025242617,0.971975923,184,Paulo J.B. Agostinho,5,Excelente processador para gaming e nÃ£o sÃ³!,,I liked the speed of delivery and the quality of the product!
185,0,0.84,0.16,0.6249,0.041925691,0.402616858,0.555457473,185,Kindle Customer,5,Intel Core i5 13600K 13th Gen: Worth to buy,,"If you're not fuzzy with the models being I5 then this CPU is just for you, worth the dollar you spend, the specs is enough to play top games, without crippling your setup and pocket."
186,0,0.634,0.366,0.8694,0.006506507,0.084332623,0.909160852,186,Marco Barone,5,Ottimo acquisto,,"in my opinion the best cpu on the market, it works at 5.5Ghz without difficulty at a more than honest cost
"
187,0.008,0.892,0.1,0.9323,0.036347773,0.259493172,0.704159081,187,JÃ¼rgen Meyer,5,ideal fÃ¼r meine Anforderungen,,"My PC was getting on in years and I wanted to get it up to speed. I thought of replacing the CPU with onboard graphics, the memory (DDR5) and the motherboard. I wanted to leave the HDD, SSD, power supply and case in the planning. In the past, I have had very good experiences with an Intel CPU with integrated graphics. Since I'm not a gamer, but mainly deal with audio and video editing, I deliberately decided against a dedicated graphics card, preferring to use the graphics characteristics of the CPU. I preferred to invest the money saved in the CPU. After intensive research on the internet and taking into account my planned budget, I decided on the Intel Core i5 13600K CPU. Various intensive tests showed a very good price/performance ratio in the planned cost range. Even more expensive "
188,0.094,0.769,0.137,0,0.023320599,0.535217464,0.441461921,188,Namam,5,Such a good processor,,Worth if you can afford it. No need to go past to i7 or i9 if you want to just game.
189,0,0.831,0.169,0.9816,0.004358995,0.042263202,0.953377783,189,Matt3009,5,TrÃ¨s puissant pour jouer,,"The Intel Core i5-13600K CPU is a great processor, and I'm extremely happy with its performance. I paired© it with a ROG STRIX B760-F GAMING WIFI motherboard, 32GB of Vengeance DDR5 5600MHz RAM, and an RTX 4070 graphics card. To maintain optimal temperatures©, I opted© for a BeQuiet Pure Loop 360mm water cooling system and a TD500 Mesh V2 box®that includes 3 original fans installed©on the front panel, and I also added©© an additional©fan on the back. I have to say that it works wonderfully on all games. The performance is really powerful and smooth. ©I was© pleasantly©surprised by the heat management, because the temperatures©don't rise excessively high. However, I think it's important to note that this can vary depending on the configuration of the system and the size of the cooling system used©. I would recommend perhaps being careful if you plan to use a smaller©size water cooler. In summary©©, the Intel Core i5-13600K CPU is a great choice for gamers, you can expect exceptional performance on all games."
190,0,0.753,0.247,0.8689,0.004222563,0.074029028,0.9217484,190,JuanMGA,5,Good midrange processor.,,"Sold by amazon warehouse  10% cheaper. Flawless, almost new except for the box. Good option for a system upgrade at this price. For regular prices you may considered it among ryzen 5 range. Whatever fits better to your budget."
191,0,1,0,0,0.289947391,0.559277952,0.150774688,191,Lorenz,5,Gut,,Functioned
192,0,0.902,0.098,0.4404,0.155263692,0.408306181,0.436430097,192,TJ,5,Fast Processor at a good Price,,"This is a fast processor with 10 cores a good all rounder at a good price, Delivered early, but unable to boot my new build as i,m still waiting for my ram to be delivered which was ordered before the processor."
193,0,0.366,0.634,0.8858,0.001578236,0.011838971,0.986582816,193,Cristian,5,Ottimo,,Original and perfect product! It works great for me
194,0,0.5,0.5,0.7906,0.003540703,0.053152941,0.943306327,194,Cliente Kindle,5,Sonho Realizado,,Great product seller note 10 fast delivery safe packaging.
195,0,0.789,0.211,0.9814,0.001544033,0.017731372,0.980724573,195,Kobra,5,Processore Intel Core i5-13600K: velocitÃ  e affidabilitÃ  ad alte prestazioni,,"I purchased this processor to upgrade my system and was very pleased with the performance I got. The processor proved to be very fast and responsive, with a base clock of 3.5 GHz and a maximum turbo frequency of 5.1 GHz. I noticed a significant increase in my system's performance in a variety of tasks, such as gaming, video editing, and multitasking. The processor also proved to be quite energy efficient, with a TDP of 125 watts. I noticed that the system stayed cool even during intensive use, thanks in part to the included heatsink. Also, the processor is compatible with LGA 1700 socket-based motherboards, so it was easy to install into my system. In summary, the Intel Core i5-10600K processor is a great choice for those looking for high performance and reliability. I highly recommend it."
196,0,0.552,0.448,0.9184,0.003889179,0.016500851,0.979609966,196,Josip ÄuriÄ,5,Perfect CPU!,,"For most of your rigs, this CPU is perfect. Never had issues with it, and runs like a charm. It's amazing!"
197,0.101,0.787,0.112,0.3724,0.326882809,0.454801977,0.218315244,197,Tony Purkis,5,1st class,,"For a primary gaming pc build just hit the buy it now button, you will not be disappointed, its super fast and will deliver all you could expect. it's a big upgrade for even the 12th gen intel cpu's.There is though a problem I would like to draw your attention to, not an issue with the processor itself. Rather a problem with the lga1700 mounting/retainer on the motherboard. It is far too tightly fitting, putting excessive pressure on both back and front edge of the cpu, with a real (and well documented) risk of bending the cpu. This is easily overcome with an aftermarket cpu retainer, for less than Â£10.00 thremalrite supply one that allows even well distributed pressure to hold cpu in place without this risk."
198,0,0.452,0.548,0.8979,0.001948001,0.052784782,0.94526726,198,Jefferson Luiz Hita,5,Custo beneficio,,Best cost benefit of 13/14 gen. Running perfect with DDR5 64GB 6K
199,0,0.743,0.257,0.8393,0.001500424,0.015948214,0.982551396,199,ALEXANDRE PILATO,5,Rapport prix/puissance,,"This Intel processor is an excellent surprise. For a price that is still affordable, you can achieve high-level performance. It will be valid for many years©, so it's a good investment."
200,0,0.653,0.347,0.4927,0.026272835,0.119501963,0.854225218,200,carlos,5,Va fino.,,"Very good CPU, nothing to object to."
201,0,0,1,0.5859,0.022607833,0.230594754,0.746797383,201,Latvian,5,Quality,,Amazing
202,0.016,0.953,0.031,0.291,0.015737915,0.131554514,0.852707565,202,ludovic m.,5,Polyvalent,,"After almost 1 year of use, this processor does not balk at versatility. The toasting remains controlled©with a Noctua NHU-12a. I didn't want to put it under watercooling. It's stock, I haven't done OC on it. It is more than enough for what I do at my level. The performance is there and I find the value for money© very interesting©according to the promotions. Nevertheless©, I'm still on a DDR4 configuration. I'll see what happens when I switch to DDR5 configuration in a few months.
"
203,0,0.564,0.436,0.4754,0.00221278,0.031664342,0.966122866,203,Paulo VÃ­tor Da Silva Galdino,5,Produto excelente!,,"Very Satisfied with the processor.
"
204,0.058,0.699,0.242,0.9636,0.037042253,0.169209123,0.793748558,204,Jeremy Bray,5,"It' took me a long time to pick, but this CPU is bang on!",,"This CPU is probably one of the best you can get a the moment for price / performance. It's great for gaming especially when connected to a good GPU like the RTX 3070.My plus points -Low power usage compare to the i7.Keeps up with all gamesPrice/performance is spot on.Negative points:Needs a good motherboard!The CPU does not come with a fan and you need a good one! If you are going to  run this thing flat out, make sure you keep it cool. Don't spend only Â£30 on a cheap fan!"
205,0,0.444,0.556,0.3612,0.01555737,0.508346796,0.476095766,205,Goncalo Miguel,5,Bom cpu.,,Excelente cpu. Recommend
206,0.06,0.745,0.195,0.902,0.031012312,0.170006663,0.798981011,206,Andrea,5,Processore bestiale.,,"Great processor for both gaming and productivity. It has power to spare and among the 13th generation processors it is the one with the best value for money. On youtube there are hundreds of videos that talk about it. The only flaw is consumption. Under stress it can reach and exceed 200 w. Although it doesn't heat up like an i9 13900, it's best to use a liquid cooler."
207,0,0.862,0.138,0.6486,0.002709009,0.078909874,0.918381155,207,Michel,5,TrÃ¨s grosses performances pour un I5,,"Surprised by the high level©of performance which is©equal to that of a Ryzen 9 5900X (obtained 22500 pts with Cinebench R23) But it heats up enormously©©despite© a good Water Cooling (exceeds©90 °C at the end of the© test).
"
208,0.02,0.861,0.119,0.8754,0.003164018,0.032973312,0.963862717,208,stephen craig nicholson,5,Review,,This CPU is very good i upgraded from an i9 9900k and this CPU is actually much faster I would recommend an 5600 ram though to pair with this because of it been a newer CPU I did notice a 5600 ram ran fine on with this CPU also the ram has to be ddr5 not ddr4 just so there's no issues go for the i5 version if upgrading from a older gen CPU because the i5 is actually fast saves money on electricity and also it saves money having to go spend alot on the i7 or i9 then if you choose the i5 version a 850 psu will be just fine I definitely would recommend this version though
209,0,0.196,0.804,0.6249,0.018078502,0.226512909,0.755408645,209,Ricardo Aguila,5,Es una bestia.,,great processor
210,0.067,0.747,0.187,0.6705,0.005530966,0.075561821,0.918907166,210,Nachteule,5,FÃ¼r mich ausreichend,,"Fast CPU for all popular programs and games.Nothing to complain about. Fast and reliable and still relatively cool.Sits on a Z790 Gigabyte motherboard together with the Noctua NH-D15S chromax.black and runs perfectly.
"
211,0,0.89,0.11,0.3818,0.003708456,0.036666218,0.959625304,211,Neto,5,Excelente Processador IntermediÃ¡rio,,"I believe it is one of the best cost-benefit ratios today. Salty price for the BR reality. But it delivers what is expected.
"
212,0,0.323,0.677,0.6369,0.019301532,0.19487603,0.785822451,212,enzo,5,Venditore affidabilitÃ  top,,Processore is best
213,0,0.736,0.264,0.9325,0.014706684,0.065881297,0.919412076,213,Kyle,5,Awesome CPU,,"I keep writing these reviews and the Rate Features never makes any sense. Anyway this CPU is awesome and I got it at a great price. Skipping out on the top of the line CPU, the price comparison makes this the smartest choice at the minute."
214,0,0.515,0.485,0.765,0.004807492,0.113249242,0.881943285,214,J.D.J.,5,The best processor,,The best value processor that you can buy currently
215,0,0.654,0.346,0.9299,0.009390622,0.102452636,0.888156712,215,Cliente Kindle,5,O melhor CPU para gaming.,,"For those who just want a gaming pc and more casual use, this CPU is© the best. It runs everything and then some and even has the possibility of an overclock. Best Cost benefit."
216,0,0.785,0.215,0.8308,0.002172768,0.0218802,0.975947022,216,StÃ©phane,5,CPU au top !,,"What a great buy! It works very well and allows me to play without sacrificing quality©! Note that you need a good fan to cool it down. It can go up to more than 76deg Celsius sometimes, but it's on Cyberpunk in Path Tracing @1440p all the way up with a 4070Ti"
217,0,0,1,0.4404,0.057428434,0.279546738,0.663024843,217,Andrea,5,Spettacolare!,,good
218,0.202,0.713,0.085,-0.5058,0.004943996,0.063750133,0.931305826,218,CM,5,Produto Fiel ao Anunciado!,,"* The product arrived within the stipulated time, even© earlier than the maximum limit;* Very well packaged, no damage to the product;* Exceptional quality."
219,0,0.654,0.346,0.5719,0.00593535,0.12235155,0.871713161,219,Andreas P.,5,Leistungsstark,,"A perfect CPU for gaming, office and video editing."
220,0,0.213,0.787,0.5719,0.083786428,0.532786548,0.383426994,220,Lucas,5,Un mastodonte,,Excellent processeur. 
221,0,0.449,0.551,0.9293,0.003773156,0.022249332,0.973977506,221,Leandro,5,Entrega muito rÃ¡pida,,"The product arrived 9 days before the promised date, excellent. Very well packaged, nothing wrong. Regarding performance, fantastic"
222,0,0.758,0.242,0.7506,0.001985962,0.052190434,0.94582361,222,Naitsirhc,5,Da warehouse ma come nuovo,,"Arrived on schedule in sturdy packaging. The processor was perfect and clean, running smoothly, mounted on an MSI Pro Z790 A WIFI MOTHERBOARD."
223,0.115,0.726,0.158,0.25,0.018471966,0.132583186,0.848944843,223,Sulaimaan,5,Best multipurpose CPU,,"Insane for gaming, streaming and handle large background tasks. this CPU is perfect for people on the LGA1700 platform."
224,0,0,1,0.2023,0.125047758,0.573390067,0.30156219,224,Audin terry,5,Parfait,, top
225,0.021,0.719,0.261,0.9545,0.001865562,0.023166569,0.974967897,225,Markas,5,Good for Upgrade or New PC,,"Bought since 24June 2023, very happy of this product, yes you should buy great MotherBoard for that (my is B760) to get good cooling of VRAM area + WaterCooling MSI MAG P240 my choice( never overheated ~62C in max settings in all games, in hard games max75) Great choice if you build a new pc or upgrade."
226,0,0.111,0.889,0.8402,0.009880574,0.043813273,0.946306109,226,Robbie,5,Cpu,,Love it brilliant 
227,0,0.845,0.155,0.7888,0.011823417,0.067200169,0.92097646,227,Yann Lesiourd,5,09-Oct,,Very good CPU even if on a Z790 configuration with coil too close©to my taste even at rest !! I sent everything back but© this cpu doesn't heat up and doesn't consume too much whatt a good upgrade for a replacement of the 7700K
228,0.131,0.839,0.03,-0.7729,0.062871389,0.369004399,0.568124235,228,raymond,5,beast of a cpu,,"beast of a CPU!!  i paired it with a msi mag tomahawk b760 ddr5 motherboard and got great performanceand also a corsair h150i elite cappellix 360mm aiounlike other people i didn't have 100` straight of the box , not even when running cinebenchmsi  users if you have high temps just go in bios and cpu advance and look for LITE LOAD mine was set to 12 , just lower that and your temps will drop but dont drop it to much as youl lose power"
229,0,0.645,0.355,0.765,0.00171531,0.033329967,0.964954734,229,Beta Testeur,5,Qui a vraiment besoin de plus ?,,Probably one of the best value for money at the time of my review
230,0,0,1,0.5719,0.083121598,0.383298278,0.533580124,230,Client d'Amazon,5,I5 13600k,,perfect
231,0,0.403,0.597,0.8126,0.009300663,0.090190686,0.900508642,231,simone,5,Processore Intel,,"Excellent processor, excellent seller, delivered on time."
232,0,1,0,0,0.013401903,0.353152484,0.633445621,232,jacques,5,top,,more powerfu;
233,0,0.663,0.337,0.7269,0.032672446,0.31242913,0.654898405,233,Federico,5,Ottimo processore,,"Excellent processor, combined with a 4060ti to play in 1080p above 120fps, a bit  high price"
234,0,0.878,0.122,0.8045,0.015461941,0.150270283,0.834267735,234,IGOR,5,cpu bestiale di potente anche se e un i5,,"Beastly powerful CPU even if it is an i5, 13600K is like a 12700K of the 12th generation, very powerful EE and very stable in heavy loads. personally I use it x Photoshop and Lightroom. graphics app then use d cpu and ram . does its duty, the price in my opinion must go down to around 300â'¬, x rest go with your eyes closed and a mid-range high range cpu (even if others consider it entry level but for sure it is not so).excellent cpu"
235,0,0.238,0.762,0.4927,0.006082694,0.045706194,0.948211193,235,MickaÃ«l P.,5,Parfaitement adaptÃ© au jeux !,,very good
236,0,0.795,0.205,0.6573,0.004395265,0.038827922,0.956776857,236,JB,5,Great improvement on last cpu. Future awaits,,So far great service and product seems to work (notwithstanding an unrelated MB pin issue(blame MSI for that)
237,0,1,0,0,0.092538141,0.838341594,0.069120288,237,Chr0,5,Impeccable,,"Fonctionne parfaitement, ne pas hÃ©siter Ã  modifier le load lite (en mode 2 par exemple) pour baisser le voltage et moins chauffer."
238,0,0.781,0.219,0.6369,0.002478797,0.037288889,0.960232317,238,Alex,5,Best out there,,Incredibly fast yet hot.Literally best price / overall performance out there (on par with i7 13700k i think).
239,0.06,0.798,0.143,0.5764,0.030996444,0.158714667,0.810288906,239,The Glade,5,Faster than you need,,"I can't stress this CPU in much games or tasks, we have realistically hit a wall. This is 4xfaster than my i7 4th K gen which is insane on paper, now you have 14 gen coming this will be a great deal soon"
240,0,0.837,0.163,0.802,0.001421384,0.041313238,0.957265317,240,MR Gary Facey,5,1st PC build,,"I bought this processor (i5 13600K) to go with the NZXT H1 V2 small form factor case paired with a ASUS TUF 4070 OC graphics card, great performance and remains cool at around 45-55 degrees centigrade while playing AAA games at max settings with raying tracing enabled."
241,0,0.756,0.244,0.4404,0.096555129,0.511029363,0.392415494,241,Matt Bike,5,Good cpu,,All good just be aware it doesn't come with radiator.
242,0,0.656,0.344,0.6369,0.004127794,0.087486714,0.908385515,242,A.O.,5,Best,,"Best processor in the market right now, hands down."
243,0.052,0.809,0.139,0.8232,0.02975714,0.169583559,0.800659239,243,Luca V,5,Ottimo rapporto prezzo - prestazioni - consumi,,"This processor, despite being currently ""entry level"" of the 13th generation intel, has excellent performance for practically every use. I use it for both productivity and gaming applications and I am fully satisfied. Pay attention to motherboard compatibility. Although Z690 series motherboards support this processor, a BIOS update is required, which can be problematic if you don't have a 12th generation processor to upgrade the BIOS with (or, alternatively, your motherboard must support BIOS flashback via USB stick even without a CPU"
244,0,0.355,0.645,0.9592,0.006942475,0.04481221,0.948245347,244,Shifkat Ali,5,Great cpu,,"Really great cpu, great peformance, great value for money in opinion, you won't be disappointed"
245,0.557,0.114,0.33,-0.25,0.011266894,0.15070124,0.838031828,245,Rudy,5,Performante,,good cpu no problem
246,0,0.182,0.818,0.6696,0.007137213,0.068470314,0.924392402,246,Enrico,5,"Tutto perfetto, ottimo processore!",,best ever !
247,0,0.907,0.093,0.4767,0.046867102,0.285817802,0.667315066,247,Luca Leone,5,una soluzione per tutti,,"A solution for all needs, unless you need monstrous performance, this processor has the advantage of being versatile, that is, it consumes nothing in idle and can give good performance when needed. If it cost let's say 80 less it would be the ultimate purchase to make, but you can't have everything in life."
248,0.067,0.672,0.261,0.7351,0.001874287,0.034175143,0.963950515,248,J Clark,5,Good so far,,"Easy installation, and is really speedy. Paired with DDR5 RAM this is an unstoppable machine. A great balance between performance and power."
249,0,1,0,0,0.01363068,0.163806751,0.822562575,249,RJCofH,5,Fast,,Upgraded from i5 6500k so I've gone from 4 cores to 20 so I must say that everything seems so fast.
250,0,0.738,0.262,0.4939,0.027511576,0.508893847,0.463594615,250,Cahill,5,Monster CPU,,Can handle pretty much everything and anything I throw at it
251,0,0.435,0.565,0.7579,0.005857568,0.059084352,0.935058057,251,Amazon Customer,5,Great processor,,Great for gaming and value for money
252,0,0.704,0.296,0.8674,0.003056183,0.021148838,0.975794971,252,Dominic Park,5,Good value processor,,"Good price on amazon, prime delivery and processor performs very well, I do kinda wish I'd gone for the i7 as the price difference has closed up a lot but I'm still happy with this."
253,0,0.609,0.391,0.431,0.079528011,0.602827013,0.317645013,253,Pierre-Yves,5,Meilleur CPU du moment,,good performance but be careful with its consumption
254,0,1,0,0,0.017059457,0.248402923,0.734537661,254,Amazon Customer,5,A very solid performer,, Performance is effortless.
255,0.688,0.312,0,-0.296,0.246539772,0.673425615,0.080034658,255,ClÃ©mence,5,Excellent pour dev et jouer,,no dissapointments
256,0,0.852,0.148,0.4862,0.007264379,0.076839395,0.915896177,256,Diego,5,Ottimo,,"Nothing to complain about, one of the best in its category; perhaps a higher price but in line with other stores and competitors of the same  range"
257,0,0,1,0.4404,0.057428434,0.279546738,0.663024843,257,Plume,5,Joli petit monstre,,good
258,0,0.775,0.225,0.4404,0.002324283,0.098577112,0.899098635,258,Neophytos,5,A good CPU for Gamers,,Together with a B760M motherboard  you can setup a good PC for Games.
259,0.066,0.765,0.168,0.7968,0.022579784,0.19644098,0.780979276,259,Ryan,5,It's blazingly fast,,"I upgraded from an i7 7700k, this CPU leaves it in the dirt. I rarely see significant CPU usage and my bottleneck is completely gone. Benchmarks are outstanding for both single core and especially the multicore as this processer has 20 threads (6 performance cores (6 x2 threads) + 8 efficiency cores (8 x1 thread))."
260,0,0.687,0.313,0.4927,0.002862523,0.036831297,0.960306227,260,Chen Liang,5,good!,,"Delivery on time, item is very good too."
261,0,1,0,0,0.592562556,0.36235559,0.045081887,261,User,5,It is fast,,Now your GPU is the bottleneck!
262,0,0.213,0.787,0.5719,0.017675005,0.309993058,0.672331929,262,Ale,5,Beh che dire? Perfetto,,"Excellent processor, "
263,0,0.36,0.64,0.8357,0.002360051,0.026473654,0.971166253,263,Cyara,5,Very impressive performance,,"Very impressive performance, and good value for money."
264,0,1,0,0,0.038351528,0.438493192,0.523155272,264,Julien Albisor,5,meilleur proc 2022-2023 rapport qualitÃ© / prix,,u can buy it !
265,0,0.471,0.529,0.926,0.001952531,0.015736148,0.982311368,265,JimD,5,Fast CPU,,This is a great CPU for a modern PC and does a great job in operating quickly.  Good value
266,0,0.715,0.285,0.6114,0.003052512,0.020162594,0.976784885,266,rolland franck,5,TrÃ¨s performant pour le jeux!,,"this is exceptional. It barely exceeds the heat, perfect for gaming!"
267,0,0.858,0.142,0.1655,0.048717972,0.792641759,0.15864031,267,Stefan @HN,5,If you struggle to warm up the room you're in buy 13600k.,,Make sure you but sufficient enough cooler to tame the beast.
268,0,0.213,0.787,0.5719,0.017675005,0.309993058,0.672331929,268,Gabriele Russo,5,Miglior acquisto per fascia medio alta,,"Excellent processor, "
269,0.097,0.754,0.149,0.2332,0.006933685,0.145565778,0.847500563,269,francesco,5,Intel Core i5 13600K ottimo!,,"During the tests with the most stressful benchmarks obtained respectable scores, much higher than those recorded by the previous 12600K and almost always better even by the rival AMD Ryzen 5 7600X"
270,0,0.334,0.666,0.6114,0.002956691,0.030247889,0.966795385,270,Stark,5,Great CPU,,Perfect for me!
271,0,0.889,0.111,0.7734,0.040469714,0.077241868,0.882288456,271,Dragon Aspect Shanira,5,Can't Believe I Didn't Upgrade Earlier!! Wow!!!,,"Little i5 13th Gen CPU, BIG PERFORMANCE!!!Went from a i5 10400 to this BEAST!!!!Had only 6 cores, now I have 14 Cores and 20 Threads!!!MAN!  This packs a BIG PUNCH!I can't believe it works so well!I highly recommend this to anyone who custom-builds computers and gamers/streamers like myself!I don't have any second thoughts about this MONSTER!  Blew my socks off!!"
272,0.075,0.925,0,-0.296,0.142086327,0.764163077,0.093750611,272,Claudio V.,5,Falta informacion,,"No comentaban que venÃ­a el procesador con disipador, por lo que compre uno mejor que el que trae, pero por el momento me hubiera podido ahorrar ese dinero."
273,0,0.563,0.437,0.8975,0.003853468,0.021079978,0.975066602,273,G. Burton,5,Great Entry Level Processor!,,This is a Great entry level processor that works like a more expensive processor!  Makes an excellent first computer!
274,0,0,1,0.2023,0.13730666,0.583286047,0.279407322,274,Victoria RAKOTO-JEAN A.,5,top,,top
275,0,0.196,0.804,0.6249,0.005768621,0.055650298,0.938581109,275,Amazon Customer,5,Great performance,,Great performance
276,0,1,0,0,0.057065748,0.892039001,0.05089524,276,Camy,5,stabile e fresco!,,temperature sotto stres su 60Â°  altrimenti 30Â° rafreddato ad aria con vecchio Noctua
277,0.02,0.83,0.15,0.836,0.008943656,0.060632162,0.930424213,277,Alright camera,5,Best value for money spent,,"I'm working on upgrading my current build and this was just the thing I needed. So many games run so smoothly with this and it's hard to beat. It hasn't thermal throttled, and I'm sure that's because the stock cooler does the job just fine. It works perfect with a 650 watt 80+ bronze PSU. Do recommend for any mid to high range builds."
278,0.02,0.788,0.192,0.9961,0.004320216,0.087506004,0.9081738,278,Tanner Postin,5,Power and Performance Unleashed,,"The Intel Core i5-13500 CPU is a testament to Intelâs commitment to delivering high-performance computing solutions. As a tech enthusiast, Iâve had the pleasure of testing this processor in various scenarios, and it has consistently exceeded my expectations.One of the standout features of the Core i5-13500 is its impressive core count and threading capabilities. With 14 cores (6 Performance-cores and 8 Efficient-cores) and 20 threads, this CPU can handle multitasking and demanding applications with ease. Whether Iâm gaming, streaming, or running multiple applications simultaneously, the i5-13500 maintains smooth and responsive performance.The clock speeds of this processor are another highlight. With a base frequency of 2.50 GHz and a maximum turbo frequency of 4.80 GHz, the i5-13500 can quickly ramp up its performance when needed. This dynamic scalability ensures that the CPU can deliver optimal performance for both everyday tasks and more intensive workloads.Intelâs 10nm process technology used in the i5-13500 also contributes to its efficiency and performance. This advanced manufacturing process allows for lower power consumption while maintaining high performance levels. As a result, the i5-13500 is not only powerful but also energy-efficient, making it an excellent choice for users who are conscious of their energy usage.In terms of compatibility, the Core i5-13500 supports DDR5 and DDR4 memory, giving users the flexibility to choose their preferred memory type. This versatility is a significant advantage, as it allows for easy integration into existing systems or the freedom to build a new system with the latest technology.From a gaming perspective, the Intel Core i5-13500 delivers exceptional performance. Paired with a capable graphics card, this CPU can handle the latest games at high settings without breaking a sweat. The smooth and immersive gaming experience it provides is a testament to its capabilities.In conclusion, the Intel Core i5-13500 CPU is a powerful and versatile processor that offers excellent performance across a wide range of applications. Its combination of high core count, impressive clock speeds, and energy efficiency make it a standout choice for anyone looking to upgrade their system. Whether youâre a gamer, content creator, or general user, the i5-13500 is sure to meet and exceed your expectations."
279,0,0.448,0.552,0.5719,0.010385237,0.192521319,0.797093451,279,Octavio,5,Excelente rendimiento,,arrived on perfect condition
280,0,0.286,0.714,0.3612,0.012034831,0.193665892,0.794299245,280,stephane ducharme,5,qualite,,thank you
281,0.057,0.826,0.117,0.8367,0.054384485,0.244042501,0.701573074,281,Tasha,5,Diamond in the ruff.,,"Hello,So I bought this processor to replace my ryzen 7 2700x that finally decided to die on me. I have had the ryzen since launch.I was expecting similar performance maybe slightly better. However, this i5-13400f not only performs better than my old ryzen. It also does it at much cooler temps then the ryzen put out. My ryzen idled at 35c and got up to around 79c on heavy load. The i5 idles at 22c and has only gotten as high as 55c max under heavy land. That's 13 degrees cooler than the ryzen at idle and 24 degrees cooler under load.With that said that's a huge improvement over my old ryzen. Which I shouldn't be surprised that ryzen is a few generations old now. But damn. Definitely worth grabbing one.My old ryzen would get bogged down if I created a video game asset in blender around if I went too crazy. So far the i5 hasn't been bothered by anything I do in blender. Or in zbrush, maya, 3ds max, or substance painter."
282,0,0.756,0.244,0.4404,0.001500979,0.047255345,0.951243699,282,Bernardo Sala Rabasco,5,Muy contento con este i513500,,I© bought the i5 13500 because of the good reviews 
283,0,0.585,0.415,0.7778,0.007261008,0.085950382,0.906788588,283,Osmark G,5,Bueno para Gaming,,"I bought it to play video games and the truth is that I am quite satisfied,"
284,0,0.669,0.331,0.836,0.00160307,0.023131281,0.975265622,284,John McQueen,5,Great for a Budget Gaming Build,,This CPU was a no-brainer for a budget Gaming PC. Works well and was super easy to install in my Asrock z690 RS.
285,0,0.513,0.487,0.2263,0.243980616,0.58826834,0.167751044,285,robert lussier,5,Excellent,,worth the price
286,0,0.78,0.22,0.9719,0.002437134,0.014059719,0.983503103,286,John Boyter,5,Speed,,"Wow this thing is fast. Intel has done an amazing job with the 13th gen. I'm using it on my dev machine and the vs code / node.js / react environment starts up lightning fast. And with 6+4 cores, there's plenty of room left for background tasks (docker containers!). And I'm still amazed at how affordable such a powerhouse processor is. I literally don't need to go i7 or i9. Love the competition AMD and Intel are still having and am happy to have a processor split household :)"
287,0.019,0.962,0.02,0.0516,0.05024467,0.328101426,0.621653914,287,JP D,5,"Fast cpu, low temps",,"Use in a new build with a Rog Strix Z690-E motherboard, 32gigs of DDR-5 6400 ram and a 1 tb Samsung 980 pro  NVMe pcie ssd.Fast cpu with low power consumption, 65w, and very low temps.I was able to fit my 10 years old Corsair H60 water cooling system on it and to my surprise, this cpu runs cooler than the i7-2600 cpu the H60 was cooling before. Present temp, writing this review, is 25 celsius. Surfing and watching videos on youtube, temps are around 29-35 celsius. Have not tried the Intel supplied cooler.Granted my gpu is not recent, I have yet to update my gtx 950, encoding video using cpu in handbrake is way faster  than when encoding using the gtx 950 nvenc and the resulting file size are quite smaller for the same visual quality.Encoding  pushes the  cpu and water cooling fans to 100%  and temps climb up to 99 degrees but it all works flawless.Have yet to game with it, will do when I get a new gpu."
288,0.081,0.513,0.407,0.872,0.002564923,0.023920096,0.973514974,288,Fearghus M. O'Rourke,5,Amazing value for money.,,Great performance on a budget. Great core for a 1080p/2K gaming machine. Easy to install and no issues with operation.
