Name,Stars,Title,Date,Description
giorgio,4,longevità,N/A,"For 10 years I have used the 2700K without ever having problems, I hope this will do the same. On the motherboard Asus Z790P works very well."
j lazarus,4,Great stuff. Don't expect fast load up to Windows though,N/A,"Processor for gaming is great give about 20% more fps than a amd3900x. It loads significantly slower into windows though even with a 7700mbs drive. So good and bads. Easy to install, just match the arrows on cpu and mb. Check manufacturer of mb to make sure bios update from z690mb done before cpu in or you can update from usb drive."
beaudouin s.,4,RAS,N/A,quality/price
Marco,4,Una serie i5 di tutto rispetto a differenza delle precedenti generazioni,N/A,"Given sensational tests on this 13th generation i5 processor I wanted to buy it for testing and I was fully satisfied; if I have to give it a bad grade that I would do it on operating temperatures too high, it looks like a last generation processor pumped up to make it faster but I don't think this is an Intel solution but it does its job; fortunately I added a liquid cooler but in the tests on AIDA you can easily reach 100�; in idle it is around 45/50� and the assembly has been done regularly since I have assembled many configs. without problems. However, a processor without praise and without infamy for a gamer like me, but which can be perfect for a studio system. Advised."
benmessaoud,4,Conforme,N/A,Compliant product and delivery
Amazon Customer,4,Superb,N/A,"Great, fast,smooth"
vassart r.,4,ok a voir dans le temps,N/A,Very good CPU 
isamar,5,Excelente calidad precio,N/A,Excellent cpu very powerful for its price arrived in excellent condition although I am late from the rest everything good so far.
Greg B.,5,Hardware Transcoding Support,N/A,Using it for a Plex server and it's better than my 1080ti card!
Yermanatorx5,5,Amazing buy for the money,N/A,From upgrading from a 10400 the perfomance is insane and for the money it’s just a 10600k but just not overclockable great value
Dan,5,"Chip is good and works well, as expected.",N/A,Using it as a camera server running Blue Iris.
HINDERJOE,5,WORKS GREAT,N/A,WORKS GREAT
foxina98,5,Works well,N/A,huge upgrade from i7 4770. the stock fan is decent enough to do the job I just use it for gaming extremely fast also cheaper mobos than amd this gen.
Roman,5,Super CPU!,N/A,Thank you Amazon for this beast! Everything is fine <3 Nice update from i7-2670QM lol ;))
John,5,works,N/A,works
Michael,5,Price friendly option,N/A,If you build new desktop pc is very tricky story for found the good compatibility motherboard. The market at the moment 2024 spring show so many different type of motherboard unfortunately not all motherboard recognise it 13th gen processor. The best if you research on factory company website. But I was bought first motherboard is not recognise 13th gen processor. Funny because the motherboard card case is show the picture on the front compatible 13.gen processor but not. In the game I5 processor is good enough but high temp so choose better cooling system. I suggest I7 processor. Better performance. Less temperature. Not to big different on price.
Matt,5,Processador perfeito,N/A,"High performance in all the activities I do, from work to games. I use an Air Cooler and the temperature is always around 40 �C, rarely more than that"
Timmy Johansson,5,Perfekt för gaming,N/A,"Chose this for my new gaming computer works perfectly and scores well in various stress tests.
Chose this for my new gaming computer works perfectly and scores well in various stress tests.
"
Rafer,5,Bon processeur,N/A,"I �like this processor. I think �it has good value for� money, good performance."
Paulo J.B. Agostinho,5,Excelente processador para gaming e não só!,N/A,I liked the speed of delivery and the quality of the product!
Kindle Customer,5,Intel Core i5 13600K 13th Gen: Worth to buy,N/A,"If you're not fuzzy with the models being I5 then this CPU is just for you, worth the dollar you spend, the specs is enough to play top games, without crippling your setup and pocket."
Marco Barone,5,Ottimo acquisto,N/A,"in my opinion the best cpu on the market, it works at 5.5Ghz without difficulty at a more than honest cost
"
Jürgen Meyer,5,ideal für meine Anforderungen,N/A,"My PC was getting on in years and I wanted to get it up to speed. I thought of replacing the CPU with onboard graphics, the memory (DDR5) and the motherboard. I wanted to leave the HDD, SSD, power supply and case in the planning. In the past, I have had very good experiences with an Intel CPU with integrated graphics. Since I'm not a gamer, but mainly deal with audio and video editing, I deliberately decided against a dedicated graphics card, preferring to use the graphics characteristics of the CPU. I preferred to invest the money saved in the CPU. After intensive research on the internet and taking into account my planned budget, I decided on the Intel Core i5 13600K CPU. Various intensive tests showed a very good price/performance ratio in the planned cost range. Even more expensive "
Namam,5,Such a good processor,N/A,Worth if you can afford it. No need to go past to i7 or i9 if you want to just game.
Matt3009,5,Très puissant pour jouer,N/A,"The Intel Core i5-13600K CPU is a great processor, and I'm extremely happy with its performance. I paired� it with a ROG STRIX B760-F GAMING WIFI motherboard, 32GB of Vengeance DDR5 5600MHz RAM, and an RTX 4070 graphics card. To maintain optimal temperatures�, I opted� for a BeQuiet Pure Loop 360mm water cooling system and a TD500 Mesh V2 box�that includes 3 original fans installed�on the front panel, and I also added�� an additional�fan on the back. I have to say that it works wonderfully on all games. The performance is really powerful and smooth. �I was� pleasantly�surprised by the heat management, because the temperatures�don't rise excessively high. However, I think it's important to note that this can vary depending on the configuration of the system and the size of the cooling system used�. I would recommend perhaps being careful if you plan to use a smaller�size water cooler. In summary��, the Intel Core i5-13600K CPU is a great choice for gamers, you can expect exceptional performance on all games."
JuanMGA,5,Good midrange processor.,N/A,"Sold by amazon warehouse  10% cheaper. Flawless, almost new except for the box. Good option for a system upgrade at this price. For regular prices you may considered it among ryzen 5 range. Whatever fits better to your budget."
Lorenz,5,Gut,N/A,Functioned
TJ,5,Fast Processor at a good Price,N/A,"This is a fast processor with 10 cores a good all rounder at a good price, Delivered early, but unable to boot my new build as i,m still waiting for my ram to be delivered which was ordered before the processor."
Cristian,5,Ottimo,N/A,Original and perfect product! It works great for me
Cliente Kindle,5,Sonho Realizado,N/A,Great product seller note 10 fast delivery safe packaging.
Kobra,5,Processore Intel Core i5-13600K: velocità e affidabilità ad alte prestazioni,N/A,"I purchased this processor to upgrade my system and was very pleased with the performance I got. The processor proved to be very fast and responsive, with a base clock of 3.5 GHz and a maximum turbo frequency of 5.1 GHz. I noticed a significant increase in my system's performance in a variety of tasks, such as gaming, video editing, and multitasking. The processor also proved to be quite energy efficient, with a TDP of 125 watts. I noticed that the system stayed cool even during intensive use, thanks in part to the included heatsink. Also, the processor is compatible with LGA 1700 socket-based motherboards, so it was easy to install into my system. In summary, the Intel Core i5-10600K processor is a great choice for those looking for high performance and reliability. I highly recommend it."
Josip Ćurić,5,Perfect CPU!,N/A,"For most of your rigs, this CPU is perfect. Never had issues with it, and runs like a charm. It's amazing!"
Tony Purkis,5,1st class,N/A,"For a primary gaming pc build just hit the buy it now button, you will not be disappointed, its super fast and will deliver all you could expect. it's a big upgrade for even the 12th gen intel cpu's.There is though a problem I would like to draw your attention to, not an issue with the processor itself. Rather a problem with the lga1700 mounting/retainer on the motherboard. It is far too tightly fitting, putting excessive pressure on both back and front edge of the cpu, with a real (and well documented) risk of bending the cpu. This is easily overcome with an aftermarket cpu retainer, for less than £10.00 thremalrite supply one that allows even well distributed pressure to hold cpu in place without this risk."
Jefferson Luiz Hita,5,Custo beneficio,N/A,Best cost benefit of 13/14 gen. Running perfect with DDR5 64GB 6K
ALEXANDRE PILATO,5,Rapport prix/puissance,N/A,"This Intel processor is an excellent surprise. For a price that is still affordable, you can achieve high-level performance. It will be valid for many years�, so it's a good investment."
carlos,5,Va fino.,N/A,"Very good CPU, nothing to object to."
Latvian,5,Quality,N/A,Amazing
ludovic m.,5,Polyvalent,N/A,"After almost 1 year of use, this processor does not balk at versatility. The toasting remains controlled�with a Noctua NHU-12a. I didn't want to put it under watercooling. It's stock, I haven't done OC on it. It is more than enough for what I do at my level. The performance is there and I find the value for money� very interesting�according to the promotions. Nevertheless�, I'm still on a DDR4 configuration. I'll see what happens when I switch to DDR5 configuration in a few months.
"
Paulo Vítor Da Silva Galdino,5,Produto excelente!,N/A,"Very Satisfied with the processor.
"
Jeremy Bray,5,"It' took me a long time to pick, but this CPU is bang on!",N/A,"This CPU is probably one of the best you can get a the moment for price / performance. It's great for gaming especially when connected to a good GPU like the RTX 3070.My plus points -Low power usage compare to the i7.Keeps up with all gamesPrice/performance is spot on.Negative points:Needs a good motherboard!The CPU does not come with a fan and you need a good one! If you are going to  run this thing flat out, make sure you keep it cool. Don't spend only £30 on a cheap fan!"
Goncalo Miguel,5,Bom cpu.,N/A,Excelente cpu. Recommend
Andrea,5,Processore bestiale.,N/A,"Great processor for both gaming and productivity. It has power to spare and among the 13th generation processors it is the one with the best value for money. On youtube there are hundreds of videos that talk about it. The only flaw is consumption. Under stress it can reach and exceed 200 w. Although it doesn't heat up like an i9 13900, it's best to use a liquid cooler."
Michel,5,Très grosses performances pour un I5,N/A,"Surprised by the high level�of performance which is�equal to that of a Ryzen 9 5900X (obtained 22500 pts with Cinebench R23) But it heats up enormously��despite� a good Water Cooling (exceeds�90 �C at the end of the� test).
"
stephen craig nicholson,5,Review,N/A,This CPU is very good i upgraded from an i9 9900k and this CPU is actually much faster I would recommend an 5600 ram though to pair with this because of it been a newer CPU I did notice a 5600 ram ran fine on with this CPU also the ram has to be ddr5 not ddr4 just so there's no issues go for the i5 version if upgrading from a older gen CPU because the i5 is actually fast saves money on electricity and also it saves money having to go spend alot on the i7 or i9 then if you choose the i5 version a 850 psu will be just fine I definitely would recommend this version though
Ricardo Aguila,5,Es una bestia.,N/A,great processor
Nachteule,5,Für mich ausreichend,N/A,"Fast CPU for all popular programs and games.Nothing to complain about. Fast and reliable and still relatively cool.Sits on a Z790 Gigabyte motherboard together with the Noctua NH-D15S chromax.black and runs perfectly.
"
Neto,5,Excelente Processador Intermediário,N/A,"I believe it is one of the best cost-benefit ratios today. Salty price for the BR reality. But it delivers what is expected.
"
enzo,5,Venditore affidabilità top,N/A,Processore is best
Kyle,5,Awesome CPU,N/A,"I keep writing these reviews and the Rate Features never makes any sense. Anyway this CPU is awesome and I got it at a great price. Skipping out on the top of the line CPU, the price comparison makes this the smartest choice at the minute."
J.D.J.,5,The best processor,N/A,The best value processor that you can buy currently
Cliente Kindle,5,O melhor CPU para gaming.,N/A,"For those who just want a gaming pc and more casual use, this CPU is� the best. It runs everything and then some and even has the possibility of an overclock. Best Cost benefit."
Stéphane,5,CPU au top !,N/A,"What a great buy! It works very well and allows me to play without sacrificing quality�! Note that you need a good fan to cool it down. It can go up to more than 76deg Celsius sometimes, but it's on Cyberpunk in Path Tracing @1440p all the way up with a 4070Ti"
Andrea,5,Spettacolare!,N/A,good
CM,5,Produto Fiel ao Anunciado!,N/A,"* The product arrived within the stipulated time, even� earlier than the maximum limit;* Very well packaged, no damage to the product;* Exceptional quality."
Andreas P.,5,Leistungsstark,N/A,"A perfect CPU for gaming, office and video editing."
Lucas,5,Un mastodonte,N/A,Excellent processeur. 
Leandro,5,Entrega muito rápida,N/A,"The product arrived 9 days before the promised date, excellent. Very well packaged, nothing wrong. Regarding performance, fantastic"
Naitsirhc,5,Da warehouse ma come nuovo,N/A,"Arrived on schedule in sturdy packaging. The processor was perfect and clean, running smoothly, mounted on an MSI Pro Z790 A WIFI MOTHERBOARD."
Sulaimaan,5,Best multipurpose CPU,N/A,"Insane for gaming, streaming and handle large background tasks. this CPU is perfect for people on the LGA1700 platform."
Audin terry,5,Parfait,N/A, top
Markas,5,Good for Upgrade or New PC,N/A,"Bought since 24June 2023, very happy of this product, yes you should buy great MotherBoard for that (my is B760) to get good cooling of VRAM area + WaterCooling MSI MAG P240 my choice( never overheated ~62C in max settings in all games, in hard games max75) Great choice if you build a new pc or upgrade."
Robbie,5,Cpu,N/A,Love it brilliant 
Yann Lesiourd,5,09-Oct,N/A,Very good CPU even if on a Z790 configuration with coil too close�to my taste even at rest !! I sent everything back but� this cpu doesn't heat up and doesn't consume too much whatt a good upgrade for a replacement of the 7700K
raymond,5,beast of a cpu,N/A,"beast of a CPU!!  i paired it with a msi mag tomahawk b760 ddr5 motherboard and got great performanceand also a corsair h150i elite cappellix 360mm aiounlike other people i didn't have 100` straight of the box , not even when running cinebenchmsi  users if you have high temps just go in bios and cpu advance and look for LITE LOAD mine was set to 12 , just lower that and your temps will drop but dont drop it to much as youl lose power"
Beta Testeur,5,Qui a vraiment besoin de plus ?,N/A,Probably one of the best value for money at the time of my review
Client d'Amazon,5,I5 13600k,N/A,perfect
simone,5,Processore Intel,N/A,"Excellent processor, excellent seller, delivered on time."
jacques,5,top,N/A,more powerfu;
Federico,5,Ottimo processore,N/A,"Excellent processor, combined with a 4060ti to play in 1080p above 120fps, a bit � high price"
IGOR,5,cpu bestiale di potente anche se e un i5,N/A,"Beastly powerful CPU even if it is an i5, 13600K is like a 12700K of the 12th generation, very powerful EE and very stable in heavy loads. personally I use it x Photoshop and Lightroom. graphics app then use d cpu and ram . does its duty, the price in my opinion must go down to around 300�'�, x rest go with your eyes closed and a mid-range high range cpu (even if others consider it entry level but for sure it is not so).excellent cpu"
Mickaël P.,5,Parfaitement adapté au jeux !,N/A,very good
JB,5,Great improvement on last cpu. Future awaits,N/A,So far great service and product seems to work (notwithstanding an unrelated MB pin issue(blame MSI for that)
Chr0,5,Impeccable,N/A,"Fonctionne parfaitement, ne pas hésiter à modifier le load lite (en mode 2 par exemple) pour baisser le voltage et moins chauffer."
Alex,5,Best out there,N/A,Incredibly fast yet hot.Literally best price / overall performance out there (on par with i7 13700k i think).
The Glade,5,Faster than you need,N/A,"I can't stress this CPU in much games or tasks, we have realistically hit a wall. This is 4xfaster than my i7 4th K gen which is insane on paper, now you have 14 gen coming this will be a great deal soon"
MR Gary Facey,5,1st PC build,N/A,"I bought this processor (i5 13600K) to go with the NZXT H1 V2 small form factor case paired with a ASUS TUF 4070 OC graphics card, great performance and remains cool at around 45-55 degrees centigrade while playing AAA games at max settings with raying tracing enabled."
Matt Bike,5,Good cpu,N/A,All good just be aware it doesn't come with radiator.
A.O.,5,Best,N/A,"Best processor in the market right now, hands down."
Luca V,5,Ottimo rapporto prezzo - prestazioni - consumi,N/A,"This processor, despite being currently ""entry level"" of the 13th generation intel, has excellent performance for practically every use. I use it for both productivity and gaming applications and I am fully satisfied. Pay attention to motherboard compatibility. Although Z690 series motherboards support this processor, a BIOS update is required, which can be problematic if you don't have a 12th generation processor to upgrade the BIOS with (or, alternatively, your motherboard must support BIOS flashback via USB stick even without a CPU"
Shifkat Ali,5,Great cpu,N/A,"Really great cpu, great peformance, great value for money in opinion, you won't be disappointed"
Rudy,5,Performante,N/A,good cpu no problem
Enrico,5,"Tutto perfetto, ottimo processore!",N/A,best ever !
Luca Leone,5,una soluzione per tutti,N/A,"A solution for all needs, unless you need monstrous performance, this processor has the advantage of being versatile, that is, it consumes nothing in idle and can give good performance when needed. If it cost let's say 80 less it would be the ultimate purchase to make, but you can't have everything in life."
J Clark,5,Good so far,N/A,"Easy installation, and is really speedy. Paired with DDR5 RAM this is an unstoppable machine. A great balance between performance and power."
RJCofH,5,Fast,N/A,Upgraded from i5 6500k so I've gone from 4 cores to 20 so I must say that everything seems so fast.
Cahill,5,Monster CPU,N/A,Can handle pretty much everything and anything I throw at it
Amazon Customer,5,Great processor,N/A,Great for gaming and value for money
Dominic Park,5,Good value processor,N/A,"Good price on amazon, prime delivery and processor performs very well, I do kinda wish I'd gone for the i7 as the price difference has closed up a lot but I'm still happy with this."
Pierre-Yves,5,Meilleur CPU du moment,N/A,good performance but be careful with its consumption
Amazon Customer,5,A very solid performer,N/A, Performance is effortless.
Clémence,5,Excellent pour dev et jouer,N/A,no dissapointments
Diego,5,Ottimo,N/A,"Nothing to complain about, one of the best in its category; perhaps a higher price but in line with other stores and competitors of the same  range"
Plume,5,Joli petit monstre,N/A,good
Neophytos,5,A good CPU for Gamers,N/A,Together with a B760M motherboard  you can setup a good PC for Games.
Ryan,5,It's blazingly fast,N/A,"I upgraded from an i7 7700k, this CPU leaves it in the dirt. I rarely see significant CPU usage and my bottleneck is completely gone. Benchmarks are outstanding for both single core and especially the multicore as this processer has 20 threads (6 performance cores (6 x2 threads) + 8 efficiency cores (8 x1 thread))."
Chen Liang,5,good!,N/A,"Delivery on time, item is very good too."
User,5,It is fast,N/A,Now your GPU is the bottleneck!
Ale,5,Beh che dire? Perfetto,N/A,"Excellent processor, "
Cyara,5,Very impressive performance,N/A,"Very impressive performance, and good value for money."
Julien Albisor,5,meilleur proc 2022-2023 rapport qualité / prix,N/A,u can buy it !
JimD,5,Fast CPU,N/A,This is a great CPU for a modern PC and does a great job in operating quickly.  Good value
rolland franck,5,Très performant pour le jeux!,N/A,"this is exceptional. It barely exceeds the heat, perfect for gaming!"
Stefan @HN,5,If you struggle to warm up the room you're in buy 13600k.,N/A,Make sure you but sufficient enough cooler to tame the beast.
Gabriele Russo,5,Miglior acquisto per fascia medio alta,N/A,"Excellent processor, "
francesco,5,Intel Core i5 13600K ottimo!,N/A,"During the tests with the most stressful benchmarks obtained respectable scores, much higher than those recorded by the previous 12600K and almost always better even by the rival AMD Ryzen 5 7600X"
Stark,5,Great CPU,N/A,Perfect for me!
Dragon Aspect Shanira,5,Can't Believe I Didn't Upgrade Earlier!! Wow!!!,N/A,"Little i5 13th Gen CPU, BIG PERFORMANCE!!!Went from a i5 10400 to this BEAST!!!!Had only 6 cores, now I have 14 Cores and 20 Threads!!!MAN!  This packs a BIG PUNCH!I can't believe it works so well!I highly recommend this to anyone who custom-builds computers and gamers/streamers like myself!I don't have any second thoughts about this MONSTER!  Blew my socks off!!"
Claudio V.,5,Falta informacion,N/A,"No comentaban que venía el procesador con disipador, por lo que compre uno mejor que el que trae, pero por el momento me hubiera podido ahorrar ese dinero."
G. Burton,5,Great Entry Level Processor!,N/A,This is a Great entry level processor that works like a more expensive processor!  Makes an excellent first computer!
Victoria RAKOTO-JEAN A.,5,top,N/A,top
,,,,
Amazon Customer,5,Great performance,N/A,Great performance
Camy,5,stabile e fresco!,N/A,temperature sotto stres su 60°  altrimenti 30° rafreddato ad aria con vecchio Noctua
Alright camera,5,Best value for money spent,N/A,"I'm working on upgrading my current build and this was just the thing I needed. So many games run so smoothly with this and it's hard to beat. It hasn't thermal throttled, and I'm sure that's because the stock cooler does the job just fine. It works perfect with a 650 watt 80+ bronze PSU. Do recommend for any mid to high range builds."
Tanner Postin,5,Power and Performance Unleashed,N/A,"The Intel Core i5-13500 CPU is a testament to Intel’s commitment to delivering high-performance computing solutions. As a tech enthusiast, I’ve had the pleasure of testing this processor in various scenarios, and it has consistently exceeded my expectations.One of the standout features of the Core i5-13500 is its impressive core count and threading capabilities. With 14 cores (6 Performance-cores and 8 Efficient-cores) and 20 threads, this CPU can handle multitasking and demanding applications with ease. Whether I’m gaming, streaming, or running multiple applications simultaneously, the i5-13500 maintains smooth and responsive performance.The clock speeds of this processor are another highlight. With a base frequency of 2.50 GHz and a maximum turbo frequency of 4.80 GHz, the i5-13500 can quickly ramp up its performance when needed. This dynamic scalability ensures that the CPU can deliver optimal performance for both everyday tasks and more intensive workloads.Intel’s 10nm process technology used in the i5-13500 also contributes to its efficiency and performance. This advanced manufacturing process allows for lower power consumption while maintaining high performance levels. As a result, the i5-13500 is not only powerful but also energy-efficient, making it an excellent choice for users who are conscious of their energy usage.In terms of compatibility, the Core i5-13500 supports DDR5 and DDR4 memory, giving users the flexibility to choose their preferred memory type. This versatility is a significant advantage, as it allows for easy integration into existing systems or the freedom to build a new system with the latest technology.From a gaming perspective, the Intel Core i5-13500 delivers exceptional performance. Paired with a capable graphics card, this CPU can handle the latest games at high settings without breaking a sweat. The smooth and immersive gaming experience it provides is a testament to its capabilities.In conclusion, the Intel Core i5-13500 CPU is a powerful and versatile processor that offers excellent performance across a wide range of applications. Its combination of high core count, impressive clock speeds, and energy efficiency make it a standout choice for anyone looking to upgrade their system. Whether you’re a gamer, content creator, or general user, the i5-13500 is sure to meet and exceed your expectations."
Octavio,5,Excelente rendimiento,N/A,arrived on perfect condition
stephane ducharme,5,qualite,N/A,thank you
Tasha,5,Diamond in the ruff.,N/A,"Hello,So I bought this processor to replace my ryzen 7 2700x that finally decided to die on me. I have had the ryzen since launch.I was expecting similar performance maybe slightly better. However, this i5-13400f not only performs better than my old ryzen. It also does it at much cooler temps then the ryzen put out. My ryzen idled at 35c and got up to around 79c on heavy load. The i5 idles at 22c and has only gotten as high as 55c max under heavy land. That's 13 degrees cooler than the ryzen at idle and 24 degrees cooler under load.With that said that's a huge improvement over my old ryzen. Which I shouldn't be surprised that ryzen is a few generations old now. But damn. Definitely worth grabbing one.My old ryzen would get bogged down if I created a video game asset in blender around if I went too crazy. So far the i5 hasn't been bothered by anything I do in blender. Or in zbrush, maya, 3ds max, or substance painter."
Bernardo Sala Rabasco,5,Muy contento con este i513500,N/A,I� bought the i5 13500 because of the good reviews 
,,,,
Osmark G,5,Bueno para Gaming,N/A,"I bought it to play video games and the truth is that I am quite satisfied,"
John McQueen,5,Great for a Budget Gaming Build,N/A,This CPU was a no-brainer for a budget Gaming PC. Works well and was super easy to install in my Asrock z690 RS.
robert lussier,5,Excellent,N/A,worth the price
John Boyter,5,Speed,N/A,"Wow this thing is fast. Intel has done an amazing job with the 13th gen. I'm using it on my dev machine and the vs code / node.js / react environment starts up lightning fast. And with 6+4 cores, there's plenty of room left for background tasks (docker containers!). And I'm still amazed at how affordable such a powerhouse processor is. I literally don't need to go i7 or i9. Love the competition AMD and Intel are still having and am happy to have a processor split household :)"
,,,,
JP D,5,"Fast cpu, low temps",N/A,"Use in a new build with a Rog Strix Z690-E motherboard, 32gigs of DDR-5 6400 ram and a 1 tb Samsung 980 pro  NVMe pcie ssd.Fast cpu with low power consumption, 65w, and very low temps.I was able to fit my 10 years old Corsair H60 water cooling system on it and to my surprise, this cpu runs cooler than the i7-2600 cpu the H60 was cooling before. Present temp, writing this review, is 25 celsius. Surfing and watching videos on youtube, temps are around 29-35 celsius. Have not tried the Intel supplied cooler.Granted my gpu is not recent, I have yet to update my gtx 950, encoding video using cpu in handbrake is way faster  than when encoding using the gtx 950 nvenc and the resulting file size are quite smaller for the same visual quality.Encoding  pushes the  cpu and water cooling fans to 100%  and temps climb up to 99 degrees but it all works flawless.Have yet to game with it, will do when I get a new gpu."
Fearghus M. O'Rourke,5,Amazing value for money.,N/A,Great performance on a budget. Great core for a 1080p/2K gaming machine. Easy to install and no issues with operation.
Vicky,5,Great when paired with a good graphics card,N/A,Paired it with a rtx 3070 and handles everything very well. 40% utilization with full load of GPU. Also great for productivity with 10 cpu cores.
JoeteckTips,5,These are perfect for office buids,N/A,"I build PCs for clients daily. The core i3-13100 is absolutely perfect.  6 core 12 thread, nothing can beat it for the money. And the client is very happy with its performance.  Can run many different programs at once.The core i3 has changed alot over the years. Used to be dual core, with HT, then quad core not HT, now 6 core 12 thread. Much better value.  Maybe for the 14th gen core i3 they could include 6 P-cores, 2 E-cores, being the same 12 thread CPU,"
Adrien,5,Rien à signaler,N/A,good product
Jaime,5,Great CPU,N/A,This CPU is more than enough for any mid-low end PC build and will play well at any game (including AAA games) In fact I think you can definitely save money and go for the 12400f in terms of bang for buck. Loving this CPU and fixed my bottleneck
Amazon Customer,5,Good CPU for Proxmox server,N/A,"20 threads, 30W idle, what else you need?Great CPU for Proxmox sever, tons of power!"
JJ,5,Great bang for the buck,N/A,"If you need more processor, buy more processor.  However, most web surfer and video viewers will never notice this is a budget CPU.  Modern tech makes this little guys speedy as heck.  It runs games just fine as long as your expectations are super high end 4K gaming at a zillion FPS.  Check youtube for videos.  Great little chip."
Shadow_the_Wiseman,5,Best Bang for your buck!,N/A,This thing is still rated in the top for gaming processors and has served me well over the past few months. Upgrading my video card now to take advantage of this better as it's creating a bottle neck. Handles VR games like a charm and doesn't struggle with anything I've thrown at it!
Musicfan,5,Very happy with it,N/A,"The box contained everything I needed to install the processor. It was super-easy to install the process in the new build I did, and everything went perfectly. I am not a performance fiend, so I cannot comment on the performance."
Excelente vendedor llego tofo rápido y en excelente estado,5,Excelente servicio,N/A,It arrived faster than I expected tofo in order and well protected at a very good 
Xenomorf,5,Not the fastest but solid,N/A,Bought this to replace a burned out chip on my old motherboard. Install was easy (so long as you know what you are doing) and only took a few minutes to get my computer up and running again.
J Hartman,5,Good all around processor,N/A,"I originally got this cause I wanted to try out Intel's p cores/e cores.  Coming from a long time AMD user, this intrigued me.So far, it's got it's ups and downs.  But it seems to be at par with the Ryzen 7 5700g.  Though better in lots of ways....like, being to use either DDR 4 or 5.  Or PCIe 4 or 5, depending on mother board.  While the Ryzen 7 5700g is stuck at PCIe 3.Anyway, I loved it.  But decided to swap with with a i9 14900k.I donated it to a friend along with a few other parts to upgrade her system from an A10 to this.  So far it's been real good to her.The only odd note about this processor and it's IGPU counterpart is, this one have more cache.  While the IGPU version have less cache.  Try to weigh in your options when looking at this over the other.  I picked this due to a tiny drop in price with the added extra cache.  But, it wouldn't be great for my itx rebuild I did later on.  This low powered CPU (compared to a Ryzen 7 5700g) would benefit with the IGPU when going for a plain HTPC build."
,,,,
,,,,
Roba66,5,Easy to build a computer with this one.,N/A,"I just assembled a new computer using this processor on a Gigabyte B760 with DDR5 memory. The system came up without a hitch and the BIOS screen appeared very professional. I installed Ubuntu 22.04, the only thing I noticed was a hang when installing 22.04.1, so I had to initially select safe mode. I recommend using 22.04.3 (current) because it probably fixes that issue.With 20 cores total this processor is just a downgraded i5-13600k, I don't overclock anyways so it fits my needs. RAM and the sleep function work perfectly (I had trouble with the competitor's)"
Simon Green,5,Plenty fast enough without temp issues,N/A,"Plenty fast enough for me, I do some gaming (War Thunder, Cities Skylines, Company of Heroes) and some Stable Diffusion AI artwork and this handles everything.The integrated cooler is small and handles the heat fine, without having to worry about paying for elaborate cooling solutions."
Virgilio Quintana,5,excelente cpu,N/A,"Excelente cpu para juegos, soporta gamas altas de gpu"
S.S.,5,Enough and has integrated graphics,N/A,Used it in a fresh build on MSI Mortar wifi and Thermalright assassin x. Temps 3x on idle and 5x on load. Has all needed performance and with integrated graphics is all needed. With Gigabyte Eagle RTX 3060 OC got Fortnite Epic run 130fps @1080p and ~90fps @1440p. Black Mesa ultra @1440p got 100-200fps. Single Con: Could be better priced around 130 though. I decided to have this configuration to have the possibilty to upgrade to 13600k sometime later if needed for Graphics render software.
José,5,Wipes the floor with gaming and video editing.,N/A,Upgrade from i5-7400 to this. It's night and day.
the patchwerk boy,5,The PERFECT budget gaming CPU,N/A,"This thing performs neck-and-neck with an i7-12700K at half the power draw, with half the heat. It has become my new go-to for sub-$1000 client gaming system builds. Pairs great with any GPU up to an RTX 4070 or an RX 7800-XT"
Marv,5,Bought this processor and a cheap MATX motherboard so I could run MicroSquish Windoze 11,N/A,"So I was stuck on Windows 10 with my LGA 1151 core i7-6700.  This processor at an affordable price more than doubled, maybe tripled my cpu performance while still accepting my older DDR4 3200 ram and m.2 storage.  Also allows me to update my machine to Windows 11 as a 13th gen cpu.  I considered running 8th gen chip in my older mother board by flashing the bios with a coffee lake chip support, but rather than deal with all the isolation on the cpu pins and bios frustration, i opted to spend 60 bucks for a new MATX board and this cpu.  The only complaint I have is the cpu box was clearly opened and I am left wondering if this was dropped into someone else's board at some point and returned.  I don't like that when the product is being advertised as new.  The seller was Amazon LLC too so I am not sure what is going on with that.  I have half a mind to return it for a replacement but alas it is installed and seems to be running fine so I really don't want to pack it up and ship it back.  My chip runs pretty cool with the stock fan, 3d mark cpu stress tests never took it above 71C but that fan sure kicked in when the cpu was running at 100% utilization.  At idle on my computer the chip purrs along at 30-35C with the fan running somewhere around 40%.  All in all a good purchase to get my machine ready for Win 11.  Will work for a budget gaming build but expect to pay a little more for a good GPU."
,,,,
CoolGuyMan64,5,pretty good,N/A,"little expensive on amazon, i would buy it from newegg if you dont need the next day delivery. but the cpu works fine and was handled with care"
,,,,
Carlos Agreda,5,"Bueno, bonito y barato",N/A,"It is the right processor, good performance for most of the current applications at an excellent price, it works for gamer or productivity assembly, recommended!!"
Amazon Customer,5,"works fine, thanks",N/A,By default it may not boost to its marketing frequency. I had to increase power limit in motherboard settings.
David Porras,5,"Va bastante bien, es un guerrero",N/A,"The youngest of his family and he defends himself very well, he goes perfect with an RTX 3060 12GB and all in ULTRA"
,,,,
Renso B.,5,Excelente,N/A,Excellent product
M D 11,5,Processor,N/A,works wonderfully thank you
Brandon,5,Amazing for the Price!,N/A,"I upgraded from an i7-7700k to this and its amazing, perfect for gaming and stays cool. I have no issues or complaints what so ever."
